index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;1;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;4;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;1;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;6;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;3;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;1;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;4;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
32;4;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;4;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
35;2;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;6;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;5;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
