index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;14;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;6;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;8;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
5;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;9;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;3;17;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
8;1;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;16;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;13;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
