index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;5;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;5;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;8;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
5;9;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;13;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;3;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;12;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;3;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;7;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;12;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;12;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;11;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;12;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;14;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;5;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
20;8;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;12;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
22;8;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;11;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;16;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;7;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;8;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;4;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;4;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;9;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;13;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;7;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;14;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;16;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
