index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
2;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;14;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;4;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
12;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;11;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
17;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;9;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
