index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;1;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;5;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;5;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;4;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
