index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;4;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;17;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
6;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;13;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;10;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;2;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;8;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;5;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;2;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;7;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;2;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;4;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
22;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;6;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;3;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;18;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;17;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;1;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;18;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;12;17;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
30;2;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;1;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;10;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
33;12;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;11;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
36;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;8;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;8;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;7;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
