index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;7;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;3;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
4;7;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;8;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;3;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;7;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;16;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;15;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
