index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
4;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
5;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
8;10;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
9;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;14;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;14;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
17;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;11;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;13;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;1;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;9;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;10;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
