index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;15;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
3;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;4;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;14;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
10;1;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;12;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;11;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;11;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;2;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;14;18;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;6;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;10;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;7;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
29;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
30;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;1;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;15;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
34;14;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
35;15;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;8;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;1;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
39;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;1;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;3;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;15;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;5;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
44;5;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
45;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;11;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
47;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;17;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
49;16;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;10;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
