index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
2;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;14;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;9;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
7;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;9;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
13;10;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
14;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
17;9;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
20;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
21;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;10;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;5;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
30;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
34;12;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
37;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
