index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;1;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;6;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;11;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;16;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;6;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;12;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;7;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;1;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;12;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;9;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;12;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;8;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;8;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;10;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;1;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;14;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
30;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;2;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;7;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;11;16;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
34;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;1;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;8;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;16;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
38;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;3;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
40;12;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
