index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;8;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;15;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;7;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;9;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;14;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;13;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;15;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;12;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;1;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;11;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;15;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;3;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;2;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;2;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
22;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;8;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;8;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;4;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;11;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;12;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;9;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;12;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
32;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;4;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;11;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
