index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;9;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
12;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
14;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;5;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
16;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;6;2;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
