index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
2;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;14;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
6;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;10;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
16;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
20;6;2;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
21;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
24;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
25;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
28;11;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;7;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;14;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;12;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
40;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
42;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;6;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
44;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
45;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
47;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
