index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;4;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;15;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;8;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;6;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;12;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;11;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;1;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;6;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;10;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
15;1;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;17;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;15;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;13;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;3;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;7;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;14;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;12;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;7;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
26;9;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;8;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;11;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;13;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
31;6;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;5;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;17;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
34;13;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;9;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;11;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;6;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;12;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;1;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;3;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
44;16;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;10;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
47;5;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
48;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
49;12;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
50;3;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
