index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
4;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
5;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
8;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
10;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
12;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
14;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;10;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
17;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;13;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
25;2;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
26;4;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;2;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
29;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
