index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;2;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
2;1;3;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
3;1;4;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
4;1;5;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
5;1;6;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
6;1;7;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
7;1;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
8;1;9;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
9;1;10;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
10;1;11;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
11;1;12;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
12;1;13;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
13;1;14;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
14;1;15;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
15;1;16;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
16;1;17;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
17;1;18;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
18;2;3;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
19;2;4;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
20;2;5;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
21;2;6;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
22;2;7;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
23;2;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
24;2;9;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
25;2;10;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
26;2;11;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
27;2;12;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
28;2;13;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
29;2;14;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
30;2;15;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
31;2;16;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
32;2;17;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
33;2;18;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
34;3;4;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
35;3;5;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
36;3;6;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
37;3;7;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
38;3;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
39;3;9;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
40;3;10;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
41;3;11;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
42;3;12;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
43;3;13;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
44;3;14;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
45;3;15;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
46;3;16;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
47;3;17;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
48;3;18;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
49;4;5;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
50;4;6;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
51;4;7;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
52;4;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
53;4;9;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
54;4;10;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
55;4;11;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
56;4;12;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
57;4;13;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
58;4;14;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
59;4;15;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
60;4;16;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
61;4;17;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
62;4;18;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
63;5;6;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
64;5;7;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
65;5;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
66;5;9;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
67;5;10;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
68;5;11;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
69;5;12;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
70;5;13;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
71;5;14;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
72;5;15;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
73;5;16;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
74;5;17;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
75;5;18;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
76;6;7;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
77;6;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
78;6;9;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
79;6;10;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
80;6;11;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
81;6;12;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
82;6;13;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
83;6;14;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
84;6;15;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
85;6;16;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
86;6;17;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
87;6;18;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
88;7;8;3;100000;13;6;3;100000;13;3;200;0.0005;0.0005;0.0005
