index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;4;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;9;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;17;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;3;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;4;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;4;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;17;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;6;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
11;4;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;10;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;16;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
17;3;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;9;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;8;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;18;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;11;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;2;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;5;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
26;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;4;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
