index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;5;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;8;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;17;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;5;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;7;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;4;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;12;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;12;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;6;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;12;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;6;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;12;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;14;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;6;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;16;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;15;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;9;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;13;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;14;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;10;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;13;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;7;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;5;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;12;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
